Vitamin C (mg per 100g),Vitamin B11 (mg per 100g),Sodium (mg per 100g),Calcium (mg per 100g),Carbohydrates (g per 100g),Iron (mg per 100g),Calories (kcal per 100g),Sugars (g per 100g),Dietary Fiber (g per 100g),Fat (g per 100g),Protein (g per 100g),food,food_normalized
0.082,0.086,0.018,2.8,0.073,0.027,88.0,0.0,0.0,9.8,0.058,margarine with yoghurt,margarine with yoghurt
0.4,0.005,0.065,10.2,3.7,0.7,99.0,1.7,0.9,8.8,2.8,sunflower seed butter,sunflower seed butter
0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,13.6,0.0,hazelnut oil,hazelnut oil
0.0,0.0,0.0,0.0,0.0,0.0,1966.0,0.0,0.0,218.0,0.0,menhaden fish oil,menhaden fish oil
0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,13.6,0.0,cod liver fish oil,cod liver fish oil
0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,13.6,0.0,sardine oil,sardine oil
0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,13.6,0.0,cupu assu oil,cupu assu oil
0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,12.8,0.0,lard,lard
0.0,0.002,0.031,153.6,3.8,3.1,94.0,0.0,0.9,8.1,2.9,sesame butter,sesame butter
0.0,0.067,0.019,0.6,0.1,0.078,59.0,0.0,0.0,6.7,0.082,margarine spread,margarine spread
0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,12.8,0.0,lard vegetable oil,lard vegetable oil
0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,12.8,0.0,shortening,shortening
0.092,0.052,0.081,2.9,0.1,0.0,75.0,0.0,0.0,8.4,0.007,vegetable oil spread,vegetable oil spread
0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,13.6,0.0,cottonseed oil,cottonseed oil
0.051,0.004,0.1,5.7,0.4,0.041,6.0,0.0,0.0,0.5,0.2,vegetable oil spread fat free,vegetable oil spread fat free
0.051,0.006,0.1,0.0,0.0,0.0,88.0,0.0,0.0,9.9,0.0,soy margarine,soy margarine
0.036,0.001,0.1,0.068,0.017,0.0,100.0,0.0,0.0,11.3,0.031,margarine with salt,margarine with salt
0.076,0.084,0.091,0.059,0.018,0.0,102.0,0.0,0.0,11.5,0.037,margarine,margarine
0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,13.6,0.0,salmon fish oil,salmon fish oil
0.0,0.0,0.0,0.0,0.0,0.0,1927.0,0.0,0.0,218.0,0.0,nutmeg butter oil,nutmeg butter oil
0.0,0.017,0.037,55.5,3.0,0.6,98.0,0.7,1.6,8.9,3.4,almond butter,almond butter
0.0,0.0,0.0,0.0,1.0,0.0,60.0,0.014,0.0,5.0,0.0,sour cream shoprite,sour cream shoprite
0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,13.6,0.0,ucuhuba butter oil,ucuhuba butter oil
0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,12.8,0.0,chicken fat,chicken fat
0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,13.6,0.0,herring fish oil,herring fish oil
0.0,0.0,0.009,0.0,0.0,0.0,39.0,0.0,0.0,4.3,0.0,bacon grease,bacon grease
0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,5.0,0.0,turkey fat,turkey fat
0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,12.8,0.0,beef tallow,beef tallow
0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,5.0,0.0,goose fat,goose fat
0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,5.0,0.0,duck fat,duck fat
0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,5.0,0.0,mutton tallow,mutton tallow
0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,13.6,0.0,grapeseed oil,grapeseed oil
0.0,0.0,0.0,0.0,0.0,0.0,1927.0,0.0,0.0,218.0,0.0,sheanut oil,sheanut oil
0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,13.6,0.0,almond oil,almond oil
0.0,0.0,0.0,0.1,0.0,0.0,120.0,0.0,0.0,13.6,0.0,sunflower oil,sunflower oil
0.0,0.099,0.071,6.9,4.4,0.8,94.0,0.8,0.3,7.9,2.8,cashew butter,cashew butter
0.0,0.0,0.0,0.088,0.0,0.0,124.0,0.0,0.0,14.0,0.0,canola oil,canola oil
0.0,0.0,0.0,0.0,0.0,0.0,1927.0,0.0,0.0,218.0,0.0,babassu oil,babassu oil
